accuracy,precision,recall,f1_score,model
0.6835443037974683,0.7121212121212122,0.8867924528301887,0.7899159663865546,Random Forest
0.6582278481012658,0.7166666666666667,0.8113207547169812,0.7610619469026548,Logistic Regression
0.6582278481012658,0.75,0.7358490566037735,0.7428571428571429,Decision Tree
0.6329113924050633,0.7222222222222222,0.7358490566037735,0.7289719626168224,Label Propagation
